News,sentiment,label
"Gold futures rise to Rs 29,206 on firm global cues",1,positive
"gold settles under $1,300 after upbeat u.s. jobs data",0,negative
june gold up $3.40 at $885.50 an ounce on nymex,1,positive
"gold adds rs 285, silver sheds rs 200 on global cues",1,positive
"August gold settles at $1,214.70/oz, up $1.50, or 0.1%",1,positive
Federal Reserve gives gold a reason to rise,1,positive
gold futures ease from two-month high,1,positive
gold settles 0.8% higher after fiscal cliff deal,1,positive
"gold, silver surges further on global cues",1,positive
Gold futures fall on weak Asian trend,0,negative
"Gold pares gains, oil loses more ground after Fed announcement",1,positive
Brexit: Gold glitters as investors look for safe haven,1,positive
"dec. gold up $2.30, or 0.1%, at $1,726.30/oz",1,positive
"gold's down for the year, but set to shine in 2019",0,negative
gold moves up on firm global cues,1,positive
"gold prices settle at lowest in a month, down 2% for the week",0,negative
"GOLD AT HISTORIC HIGH: Crosses Rs 30,000/10 gm on global cues",1,positive
"April gold drops $17.10, or 1.4%, to settle at $1,232.90/oz",0,negative
gold futures down 80c at $945.00 an ounce,0,negative
"spot gold quoted at $425, up 30 cents from new york",1,positive
"Dec. gold edges up by 80 cents to settle at $1,278.10/oz",1,positive
"india gold hits record high on global markets, rupee",1,positive
"Gold futures down at Rs 27,945 per 10 grams",0,negative
"equities' appeal pushes gold prices down to rs 30,250",0,negative
Bearish trend in gold; all eyes now on US,0,negative
"December gold down by 0.2% at $1,277.60/oz.",0,negative
"December gold ends 1.6% lower at $1,275.30 an ounce",0,negative
gold prices end lower; copper bucks trend to post gains,0,negative
"gold futures climb, but metals indexes fall",1,positive
"gold closes marginally lower at $1,336.90/oz",0,negative
gold edges up from multi-month low,1,positive
"gold extends gains to $1,250/oz after ism report",1,positive
"june gold falls $26.80, or 1.7%, $1,550/oz",0,negative
gold futures close above $700 for first time since oct. 1980,1,positive
"gold glitters,up rs 45 on seasonal demand;silver down by rs 250",1,positive
Gold dips as US-China trade war fears props up dollar,0,negative
"december gold up $17.20, or 2.1%, to $833.50 an ounce globex",1,positive
gold dips below rs 26k;hits over 3 month low on global cues,0,negative
gold hits five-month high on rising geopolitical tensions,1,positive
"dec. gold up $1.10 to settle at $1,287.40/oz",1,positive
"April gold up 40 cents at $1,226.20/oz after $1,236 high",1,positive
Gold prices mark 3-week low,0,negative
gold futures log lowest settlement since jan. 3,0,negative
gold futures settle more than $20 higher,1,positive
"Gold prices trading higher in Mumbai, Chennai market",1,positive
"gold, silver down in morning trade",0,negative
"Dec. gold settles at $1,326.70/oz, up $9.60, or 0.7%, for the session",1,positive
gold futures drift lower; u.s. markets closed for thanksgiving,0,negative
"Gold steady, on track for longest string of weekly gains since January",1,positive
Gold futures mark lowest settlement since mid-February,0,negative
"gold changes direction, post gains as dollar eases",1,positive
gold futures decline rs 59 on profit-booking,0,negative
gold prices up $5 an ounce in late morning trade,1,positive
"crude pushing $70 on strong dollar, though gold up",1,positive
feb. gold falls $4 to $631.90/oz in ny,0,negative
gold trades marginally up on pick-up in demand,1,positive
"August gold falls $9.80, or 0.8%, to settle at $1,246.70/oz.",0,negative
"april gold down $1.60, or 0.1%, at $1,604.50/oz",0,negative
"gold eases on lacklustre trade, silver drops",0,negative
gold pulls back from earlier rise,1,positive
Gold extends slump to hit 18-week low with U.S. economy in focus,0,negative
"gold falls on dollar strength, lower stocks",0,negative
gold futures trade closer to session low,0,negative
Gold falls on solid U.S. personal spending data,0,negative
"Short-covering, geopolitical tensions drive gold prices up",1,positive
gold futures post largest weekly loss in over 3 years,0,negative
"gold gains on bargain hunting, ukraine concerns",1,positive
"dec gold up $4.50, or 1%, for the week",1,positive
gold hits over 3 week high on dollar weakness; palladium at 17 year high,1,positive
MCX GOLDM Nov contract up slightly,1,positive
gold futures rise 0.16% on global cues,1,positive
"February gold ends up $5.10, or 0.5%, at $1,138.70/oz.",1,positive
Gold settles lower as caution over the Fed caps upside,0,negative
"Gold ends lower on interest-rate outlook, but geopolitical worries buoy",0,negative
Gold adds to slight loss after Bank of England lifts interest rates for first time in 10 years,0,negative
"aug gold up 30 cents at $1,614.10/oz",1,positive
gold prices tally a second-straight session climb,1,positive
"Dec. gold gains $2.20, or 0.2%, to settle at $1,271.80/oz",1,positive
"gold, silver futures climb to three-week highs",1,positive
"Feb. gold climbs $7.40, or 0.6%, to settle at $1,177.50/oz",1,positive
"Gold settles up $3.80, or 0.3%, at $1,257.60 an ounce",1,positive
silver to 'outperform gold' in 2018 as gold/silver ratio trades 41% above 50-year average,0,negative
"december gold down $19 at $1,276.20 an ounce",0,negative
gold futures up $8 at $691 an ounce,1,positive
gold edges down as dollar gains vs euro on ecb policy,0,negative
Expect Gold to trade negative: Sushil Finance,0,negative
"gold trade near two-month lows, silver strech losses",0,negative
"August gold off 0.5% at $1,253.90/oz.",0,negative
"gold prices dip in asia as focus on u.s. jobs data, fed",0,negative
"gold posts weekly loss on dollar rise, strong us data",0,negative
Gold prices gain in Asia ahead of Fed minutes release,1,positive
Gold prices hold sharp loss after import-price report,0,negative
"feb. gold falls 0.8% to $1,087.50 an ounce",0,negative
"Gold futures hold steady, eyes on U.S. economic reports",,neutral
dec. gold ends up $13.40 at $791.40 an ounce on nymex,1,positive
"Weekend roundup: Companies with most to gain from Trump tax cuts | Dow at 20,000 | A gold bug suffers",1,positive
"More upside seen in gold prices, every dip could be opportunity to go long in silver",1,positive
"randgold, miners sink in london as gold dives",0,negative
"commodity bets: trading tips to make profit in gold, silver",1,positive
gold futures slip from record high ahead of fed,0,negative
"August gold up 0.1% at $1,281.40/oz, after $1,286.60 high",1,positive
gold futures recover after worst week in more than 3 years,1,positive
metals indexes follow gold lower,0,negative
gold up on firm global cues,1,positive
gold futures fall below $920 as dollar rises,0,negative
gold futures edge higher with ukraine events in focus,1,positive
"chinese unmoved by gold price drop, see it cheaper still",0,negative
"oil falls below $99 a barrel, gold off by 0.4%",0,negative
gold prices settle lower as rate hike looms,0,negative
Gold early losses hold steady after jobless claims,0,negative
Gold futures down 0.19% on profit-booking,0,negative
gold futures rally above $800; platinum gains,1,positive
Gold prices to trade higher: Angel Commodities,1,positive
"Gold falls to Rs 30,360; silver slips below 42K-mark",0,negative
gold futures end $2 higher after two-session drop,1,positive
"Gold turns lower after Putin comments, Yellen testimony ahead",0,negative
"gold, silver trade lower in morning trade",0,negative
"Gold spurts on firm buying, silver also edges up",1,positive
"gold little changed amid firmer equities, weaker dollar",,neutral
Rough September dents gold's 3rd quarter gain,1,positive
Gold Prices Break 3-Day Winning Streak as China Factory Growth Disappoints,0,negative
Gold futures slip back in electronic trading below settlement level,0,negative
gold futures recover some of their losses,1,positive
Gold Prices Trim Gains but Remain Near 4-Month Peak,0,negative
gold marks modest retreat after friday's rally,0,negative
Gold futures edges up in electronic trading after FOMC minutes,1,positive
"Gold loses sheen on subdued demand, priced Rs 32,250 per 10 gm",0,negative
gold up over 0.50 per cent in morning trade,1,positive
"aug gold ends at $349.60, up 0.8% ahead of fed decision",1,positive
Gold loses 1% to finish at lowest in three weeks,0,negative
Expect Gold to trade positive: Sushil Finance,1,positive
"spot gold, silver prices surge on weak dollar index",1,positive
Gold trades lower after employment report,0,negative
fall in gold prices may increase demand,0,negative
"gold rises after seven days on low level buying, global cues",1,positive
feb gold climbs $9.40 to $553.90/oz after $555.50 high,1,positive
"June gold settle at $1,228.60/oz, down $19.90, or 1.6%",0,negative
"gold futures lose 1.6% on day, down about 2.4% for the week",0,negative
gold run on romney win defies logic,1,positive
"Gold futures slip to Rs 26,698 per 10 gm",0,negative
"june gold up $7.50 at $1,524.60/oz on globex",1,positive
Gold prices to trade higher today: Angel Commodities,1,positive
"Dec. gold settle at $1,341.70/oz, down $3, or 0.2%",0,negative
"Gold futures fall to Rs 31,200 per 10 gm",0,negative
"gold futures, issues in dull dealings",0,negative
gold futures trade at record as session nears end,1,positive
Gold prices to trade lower: Angel Commodities,0,negative
gold gains as european debt concerns boost demand,1,positive
"gold demand improves on price drop, duty fears",0,negative
"as gold prices drop, us shoppers, investors ponder options",0,negative
"Gold prices drop sharply in Asia on weak flash China PMI, market turmoil",0,negative
Gold prices log lowest settlement in a week,0,negative
gold settles at lowest in a week,0,negative
Gold futures weaken by 0.09% on global cues,0,negative
gold rises by rs 71 in futures trade,1,positive
"gold rebounds on global cues, jewellers buying; silver up",1,positive
gold futures open 70 cents lower on nymex,0,negative
"gold, oil fall further after consumer data",0,negative
Gold prices pull back after climbing over the last three weeks,0,negative
fall in wholesale prices hit gold stocks,0,negative
Gold hits highest in over six weeks as US jobs data disappoints,1,positive
gold inches up from near 5-mth low ahead of fed meeting,1,positive
gold futures gain 4.2% for the week,1,positive
"Gold holds steady near 3-month high ahead of U.S. API, ISM reports",,neutral
"gold futures end above $1,060 an ounce as dollar falls",0,negative
"barrick profit up 35% on higher gold, copper price",1,positive
"Gold futures decline to Rs 26,931 per 10 gm",0,negative
"dec. gold settles at $1,304.50/oz, up $1.20, or 0.1%, for the session",1,positive
"gold jumps on global cues, silver also soars",1,positive
"gold, silver advance on mild demand",1,positive
Gold slips from a 2-month high as the dollar stages a rebound,0,negative
"june gold extends drop, off $20.70 to $1,447.90 oz",0,negative
"dec. gold ends at $1,742.30/oz, down $7.30",0,negative
gold to trade in 29645-30131 range: achiievers equities,,neutral
MCX GOLDM Dec contract down slightly,0,negative
"august gold ends up $3.80, or 0.4%, at $936",1,positive
"gold falls, oil pares gains after fed announcement",0,negative
"gold hovers near 3-month low, dollar strength weighs",,neutral
hold long positions in gold: pj commodity ventures,,neutral
april gold climbs 60 cents to $654.50/oz in afternoon trade,1,positive
gold melts on rupee heat,0,negative
"dec. gold settles 0.1% higher at $1,197.10 an ounce",1,positive
gold powers to six-month high as turmoil fires up haven demand,1,positive
"june gold down 70 cents, or 0.1%, to end at $1,308.60/oz",0,negative
gold declines as strong dollar slow investors' demand,0,negative
gold up on fed caution over rates; higher equities cap gains,1,positive
Gold Prices Remain Lower After Upbeat U.S. Data,0,negative
gold gains on demand from bargain hunters,1,positive
gold eases from 3 week top as dollar holds steady,1,positive
harmony plans capex cuts after gold price fall,0,negative
june gold falls $3.90 to close at $659.90/oz,0,negative
Gold settles lower as dollar closes in on 14-year high,0,negative
Gold adds to early gains after ISM manufacturing report,1,positive
gold prices up on festive demand,1,positive
"feb. gold ends down $11.90, or 1.4%, at $808.80 an ounce",0,negative
"gold tips higher in early trade, at $1,619/oz",1,positive
gold prices may climb rs 80/gram in three weeks,1,positive
"Gold ends at a more than 3-week high as U.S. equities, dollar weaken",1,positive
"spot gold quoted at $405.20, down 30c from new york",0,negative
"gold trades above $1,300 on geopolitical tensions",1,positive
Gold post soft declines as geopolitical jitters subside,0,negative
spot gold quoted at $630.30 in asia trade,1,positive
"february gold rises nearly $22 to $1,256/oz",1,positive
gold may jump over 20% as investors eye inflation,1,positive
Gold prices mark lowest finish month to date,0,negative
"gold, oil futures post modest gains",1,positive
india : domestic price of gold may rise up to 3% by diwali as rupee weakens,1,positive
gold prices gain in asia as events in ukraine support,1,positive
gold futures mark sixth straight session gain,1,positive
"gold down by rs 150, silver by rs 1,170 on reduced offtake",0,negative
Gold futures trading weak,0,negative
gold declines on profit-selling,0,negative
"gold dips as dollar gains, though dovish fed language supports",0,negative
gold futures fall 0.49 pc on global cues,0,negative
Gold ends at a 1-month high as traders shy away from risky assets,1,positive
"april gold falls $3.30, or 0.3%, to settle at $1,315.70/oz",0,negative
gold little changed in quiet trade ahead of us jobs data,,neutral
Gold prices up in Asia as bargain hunters snap up supplies,1,positive
"Gold inches up with Gaza, Ukraine worries in spotlight",1,positive
gold turns lower as dollar index off session lows,0,negative
gold ends lower ahead of fed decision on interest rates,0,negative
Gold prices to trade lower: Angel Commodities,0,negative
"dec. gold falls $8.40 to $1,394.90/oz on globex",0,negative
Gold futures slip on weak global cues,0,negative
spot gold quoted at $572.80 in asia trade,1,positive
"December gold down 0.1% at $1,277/oz.",0,negative
"Dec. gold climbs by $1, or less than 0.1%, to $1,270.70/oz",1,positive
"gold prices post modest gains as traders eye dollar, oil",1,positive
"crude, gold futures reverse course to trade higher",1,positive
gold inches up after ecb vigilant on inflation,1,positive
spot gold quoted at $426.20 in asia trade,1,positive
"UPDATE: Gold ticks slightly higher after jobless-claims, PPI reports",1,positive
"gold drops under $1,400 to a nearly two-week low",0,negative
gold to trade in 29456-29732 range: achiievers equities,,neutral
Gold tanks on global crash; silver sinks,0,negative
"oil, gold reverse course to trade lower",0,negative
"Profit-booking, weak global cues pull gold, silver futures down",0,negative
cboe gold index closes at highest level since march,1,positive
"gold prices up as china central bank pumps up liquidity, prices data stable",1,positive
Gold settles lower as robust economic data boost risky assets,0,negative
"Gold drops to Rs 31,250; silver slumps below Rs 38K-mark",0,negative
Gold holds in positive territory after Empire State manufacturing data,1,positive
gold loss moderates after consumer sentiment rise,0,negative
"gold trades lower, after an earlier rise to as high as $1,274.10",0,negative
"Gold down modestly, but holds above $1,300 on Iraq turmoil",0,negative
gold futures up $6.00 at $912.70 an ounce,1,positive
"Feb. gold settles at $1,212.90/oz, up $16.70, or 1.4%",1,positive
"Gold futures climb to Rs 30,064 per 10 gm",1,positive
"gold, silver hit historic highs on global demand",1,positive
Gold holds near settlement price in electronic trading after FOMC minutes,0,negative
"Dec. gold settles at $1,288/oz, up $14.90, or 1.2%",1,positive
"gold notches record, settles at $1,616.80 an ounce",1,positive
gold trims losses after u.s. durable goods data disappoints,0,negative
gold atop $400 for 1st time since april,1,positive
gold prices down after traders book  profits on gains,0,negative
"gold at 30,000 rupees; traders stay away",,neutral
"gold prices gain in asia on political risk, fed outlook weighs",1,positive
MCX GOLDPETAL Nov contract gains,1,positive
"june gold closes at $642/oz, up $7.80 for the day",1,positive
feb. gold tops $650 for first time since jan. 25,1,positive
Gold extends retreat from a 1-month high,1,positive
"Gold futures jump to Rs 28,655 on firm global cues",1,positive
"Gold, silver decline in cautious trade ahead of Fed statement",0,negative
gold stocks jump-start bay street,1,positive
"gold futures down $5 at $1,136.2/oz after data",0,negative
"Gold turns pricier, but discounts get deeper for jewellers",1,positive
Gold futures settle at highest level in nearly 3 weeks,1,positive
gold turns positive after weak u.s. data; fed outcome ahead,1,positive
"gold falls as equities rise, may test $1,050",0,negative
silver back at two-year high as gold marks first gain in five sessions,1,positive
philadelphia gold & silver index falls 2.7%,0,negative
"gold up in wake of jobs data, scores weekly gain",1,positive
"April gold down 20 cents to trade at $1,258.60/oz",0,negative
Gold prices end at 1-week low,0,negative
"August gold settles at $1,282.70/oz, up $2.50, or 0.2%",1,positive
gold retreats after hitting new high,1,positive
gold kist cut to neutral at j.p. morgan,0,negative
gold futures fall 1%; copper down 5%,0,negative
"august gold falls $5.7, or 0.5%, to $1,193.2/oz",0,negative
Gold holds gains after second-estimate of GDP,1,positive
"feb. gold ends up 2% at $836.50, highest since oct. 15",1,positive
rates : gold prices 'hit by deep link' to real yields but 'should gain' on inflation,0,negative
Gold futures climb roughly 4% for the month,1,positive
"Dec. gold falls $7.80, or 0.6%, to settle at $1,310.20/oz",0,negative
"gold futures rebound, up 1.30% as re plunges to new low",1,positive
gold futures rise as much as $12 in morning trading,1,positive
"August gold trades up $8.40, or 0.7%, at $1,254.10/oz.",1,positive
india gold falls over 1%; attracts physical traders,0,negative
gold prices edge up for a fourth session,1,positive
gold futures down $5.20 at $615 an ounce,0,negative
Gold Prices Trim Gains but Remain Supported,0,negative
gold futures lose about 1.2% for the week,0,negative
"gold, copper prices head higher",1,positive
"gold will not be in demand as long as inflation is low: sanjay shah, hsbc global asset management",0,negative
gold futures recover on better global trend,1,positive
gold prices up as economic data fail to lift dollar,1,positive
special podcast: gold hits 10-month high; should you invest?,1,positive
gold futures drop back under $410,0,negative
gold traders prefer to stay away; prices extend fall,0,negative
comex gold trades higher than the settlement after fomc minutes,1,positive
Gold prices settle slightly higher after three-session decline,1,positive
"gold falls modestly, ending 3-day winning streak",0,negative
"Dec. gold settles at $1,288.90/oz, down $4.90, or 0.4%",0,negative
Gold falls from 3-1/2-month high,0,negative
"Gold, Silver may trade negative today: Angel Commodities",0,negative
Expect Gold to trade sideways: Sushil Finance,,neutral
"Gold slumps on profit booking, silver gains",,neutral
physical : gold investment demand down 23% in 2017,0,negative
"gold resumes backing off from 1,360 as equities slide in thin asia markets",0,negative
gold futures hold steady ahead of u.s. data,,neutral
asia gold demand sluggish as high prices deter buyers,1,positive
"Gold futures gain $8.40, or 0.6%, to settle at $1,357.20/oz",1,positive
gold traders put off purchases; prices at 3 week high,1,positive
Gold prices hit session highs after U.S. PPI data,1,positive
"gold gain in early asia as u.s. jobs data disappoints, trade thin",1,positive
"april gold down $9.30, or 0.7%, at $1,332.70 an ounce",0,negative
"gold rate today: gold, silver up in morning trade; should you buy?",1,positive
Gold futures prices mark first gain in three sessions,1,positive
"techs, gold take down toronto",0,negative
iamgold leads mining shares lower; gold dulls,0,negative
cboe gold index rises 1.7%,1,positive
Gold prices to trade lower: Angel Commodities,0,negative
december gold contract down $3.00 to $641.40,0,negative
"August gold settles at $1,246.90/oz, up 50 cents",1,positive
"June gold falls $8.50, or 0.7%, to settle at $1,248.50/oz",0,negative
"dollar stays down, gold up after empire survey",1,positive
Gold prices to trade lower today: Angel Commodities,0,negative
"June gold off $4.80, or 0.4%, at $1,243.20/oz.",0,negative
gold etf on track for biggest loss since feb.,0,negative
Gold edges higher on safe-haven bids but gains seen as short-lived,1,positive
"gold falls below $930 as crude, stock futures rise",0,negative
"gold closes with minor loss, up for week",1,positive
"April gold down $6.70, or 0.6%, to settle at $1,209.40/oz",0,negative
gold mildly lower as safe-haven flight wanes,0,negative
Comex gold may bounce higher,1,positive
gold prices steady amid firm dollar; iran tensions support,,neutral
"June gold up 70 cents, or less than 0.1%, at $1,259.80/oz.",1,positive
Gold futures hover near more than 1-month lows,,neutral
"Gold ends lower after jobs report, but scores second straight weekly gain",1,positive
"Gold futures rise to 26,849 on global cues",1,positive
gold price seen averaging &#36;1770 in q4: gfms,,neutral
"spot gold quoted at $392, up 20 cents from new york",1,positive
"Gold futures decline to Rs 29,736",0,negative
gold futures end higher after 6 consecutive session declines,1,positive
"gold adds $42, or 2.4%, to trade at $1,833.30/oz",1,positive
Gold holds near 1-month low ahead of Fed meeting,0,negative
"gold hits new high at rs 29,295 on marriage season demand",1,positive
gold down $6.70 at $899.50 an ounce,0,negative
"December gold rises 0.2% at $1,279/oz.",1,positive
gold futures fall after failing to reach $630 level,0,negative
gold prices gain in asia after chinese trade data mixed,1,positive
"Gold futures rise to Rs 29,792 on global cues",1,positive
"up close & personal: how sunny leoneÃ¯Â¿Â½handles stocks, land, gold, other assets",1,positive
gold eases from 1-month high on positive us outlook,1,positive
gold stocks rebound as market falls,0,negative
"experts see bull run in gold, silver, crude & copper",1,positive
MCX GOLD Dec contract firms up,1,positive
Gold prices suffer back-to-back drop,0,negative
june gold falls $6 to $678.30/oz after $673 low,0,negative
"gold settles up $4.40, or 0.4%, at $1,258.40 an ounce",1,positive
"april gold settled at $1,239.40/oz, down $8.40 for the session",0,negative
"gold settles lower, at $1,337.60 an ounce",0,negative
india gold extends losses; physical trading still dull,0,negative
patagonia gold lifts cap-oeste resource estimate,1,positive
gold prices settle at lowest since late july,0,negative
gold has strong resistance at usd 1664.5: mangal keshav,,neutral
"Gold futures extend rally to fourth session, close up 1.5%",1,positive
gold futures edge up after steep drop,1,positive
"gold loses sheen on subdued demand, priced rs 32,250 per 10 gm",0,negative
"Gold post back-to-back gains, ends at 2-month high",1,positive
december gold down $2.30 to $730.50 an ounce on globex,0,negative
Outlook stays bullish for gold,1,positive
gold futures rally nearly 2% on dollar weakness,1,positive
"gold futures down 0.6% on day, up 2.2% on week",0,negative
mcx gold december contract up marginally,1,positive
Gold holds slight gain after Empire State manufacturing report,1,positive
mcx goldpetal march contract trades lower,0,negative
gold edges lower; traders seek more falls,0,negative
gold ends higher after last week's steep fall,1,positive
"gold rises on dollar weakness, trade tensions",1,positive
"gold, silver settle higher on greece turmoil",1,positive
gold ends atop $450 at 5-month high,1,positive
meridian gold up 6.1% in $xau,1,positive
Gold futures rise but remain near 1-1/2 month lows,1,positive
"Dec. gold falls $7.10, or 0.6%, to settle at $1,266.40/oz",0,negative
"August gold gains $2.30, or 0.2%, to settle at $1,245.80/oz",1,positive
"gold futures fall after gloomy data on housing, jobs",0,negative
"april gold down $20.60 at $1,352.30 an ounce",0,negative
"Gold rallies on positive global cues, jewellers' buying",1,positive
spot gold rises $1 to $949/troy ounce,1,positive
gold futures close down $3.40 at $581 an ounce,0,negative
gold to trade in 29546-29814 range: achiievers equities,,neutral
gold bullion premiums at multi-year lows,0,negative
"Gold adds to gains on softer equities, dollar",1,positive
"gold rate today: gold, silver up in morning trade; should you buy?",1,positive
gold to trade in 27849-28171: achiievers equities,,neutral
gold falls as traders scramble to assess news of terror plot,0,negative
gold rallies for third day; up by rs 40 on seasonal demand,1,positive
Gold holds modest losses after Chicago PMI miss,0,negative
"Gold prices slip in Mumbai, Ahmedabad market",0,negative
gold off the highs as u.s. dollar fights back,1,positive
Gold moves up further,1,positive
Gold futures log second straight session of losses,0,negative
Gold gains on soft U.S. home sales data,1,positive
"gold down $21.60, or 1.6%, to $1,374.80 ounce",0,negative
Gold starts 2017 on positive note,1,positive
"gold, silver fall on subdued demand, global cues",0,negative
june gold ends up $19.50 at $937.50 an ounce on nymex,1,positive
gold futures mark first gain in six sessions,1,positive
"june gold spikes 1.4% to $1,238.90/oz after fed yellen's remarks",1,positive
"gold advances on investment demand, silver declines",1,positive
"gold falls below $1,300 an ounce; off 2.7% at $1,291.80",0,negative
"spot gold quoted at $399, down $1.30 from new york",0,negative
Gold gleams as rupee slips,1,positive
"gold, silver down on fresh offerings",0,negative
"dec. gold falls $6.20, or 0.5%, to settle at $1,133.60/oz on comex",0,negative
"Gold, silver prices improve on physical demand",1,positive
gold trades higher after three straight losses,1,positive
Expect Gold prices to trade positive: Sushil Finance,1,positive
mcx gold april contract slips 1.2%,0,negative
mcx gold feb contract up slightly,1,positive
"Gold eases ahead of US jobs data, but eyes 6th weekly gain",1,positive
Gold prices decline for 4th session in a row,0,negative
"Gold futures log biggest one-day loss of the year, but hold above $1,200 an ounce",0,negative
gold falls 2.4% as euro slips and dollar gains,0,negative
Gold futures lose 5% for the week,0,negative
"gold seen extending gains, nearing peak",1,positive
gold futures steady ahead of key greek debt talks,,neutral
"Gold futures down at Rs 30,864 per 10 gm",0,negative
Gold hits near 1-week high as easing trade concerns hurt dollar,1,positive
"gold futures fall for the session, but edge up for the week",1,positive
"dec gold touches $397, highest since may 1996",1,positive
dec. gold falls $2.80 to close at $717.90/oz,0,negative
Gold sticks near 3-month high as risk aversion in play,1,positive
"Gold ends with a loss, prices suffer weekly drop of 2.5%",0,negative
Gold jumps by the most in 6 weeks as crude oil rallies,1,positive
gold falls as investors lock in gains from soft u.s. jobs data,0,negative
Expect Gold to trade sideways: Sushil Finance,,neutral
"Dec. gold pares gains, up 0.1% at $1,275.90/oz after ISM services data",1,positive
"feb gold closes at $455.90/oz, down $1.90 for the day",0,negative
gold prices fall back under $400; freeport shares down,0,negative
gold slides to 4-month low as dollar edges up,0,negative
"Gold ends above key $1,230 level as investors weigh interest-rate outlook",1,positive
gold futures drop $22 in two sessions,0,negative
Gold gains as dollar slips on US jobs data,1,positive
gold settles higher on european debt woes,1,positive
Gold eyes worst week in five as strong US data fuels Fed hike view,0,negative
"diwali 2011: gold coins, jewellery bookings up on price worries",1,positive
Gold climbs to one-month high on Japan stimulus hope,1,positive
Gold suffers third straight daily decline,0,negative
gold steady near five-week low ahead of us jobs data,,neutral
Expect Gold to trade positive: Sushil Finance,1,positive
Gold settles with a gain after turning higher near the session's end,1,positive
"Gold struggles below $1,200 as equities, dollar gain",0,negative
Gold regains 26k level; silver surges on fresh buying,1,positive
wells fargo : silver has more upside potential than gold,1,positive
go long on gold; stop loss below rs 28400: nirmal bang,0,negative
gold futures close above $690 at six-week high,1,positive
"april gold down 0.5% to $1,314.50 an ounce",0,negative
gold futures remain slightly lower after housing data,0,negative
"gold futures, metals shares turn lower",0,negative
"ventura commodities remains bullish on gold, crude",1,positive
gold dips on u.s. rate-hike uncertainty,0,negative
"gold holds near &#36;1,715/oz, focus shifts to euro zone",,neutral
gold prices move down rs 115 after safe haven appeal hit,0,negative
mcx gold october contract gains,1,positive
"Dec. gold settles at $1,317.10/oz, up $5.70, or 0.4%",1,positive
"spot gold bid at $389 an ounce, up 30c",1,positive
"Gold ends higher, books best weekly gain in seven months",1,positive
meridian gold upped to 'overweight' at j.p. morgan,1,positive
Gold rebounds from 9-month low as US equities slide,0,negative
"Gold futures end lower, log a roughly 2% drop for week; silver slips for week",0,negative
gold prices flat as prospect of further fed rate hikes weigh,,neutral
Gold prices mark first loss in three sessions,0,negative
"Gold futures tally weekly loss of 0.1%, based on most-active contracts",0,negative
Gold prices to trade higher Angel Commodities,1,positive
gold futures snap 6-session winning streak,0,negative
gold looks to stage a modest recovery amid highly oversold conditions,1,positive
gold futures move up on global cues,1,positive
"dec. gold climbs by $8.70, or 0.7%, to settle at $1,210.10/oz",1,positive
gold ends with a nearly $6 weekly gain,1,positive
Gold drops to lowest finish since early February,0,negative
gold hits 2-week low as dollar rallies vs yen,0,negative
gains for gold futures intensify as u.s. dollar loses more ground,1,positive
gold notches 3rd straight loss ahead of fed meeting,0,negative
gold slightly lower,0,negative
"december gold off at 0.3% at $1,274.70/oz.",0,negative
gold prices gain in asia as investors await more greece debt news,1,positive
"Gold extends gains as dollar, Asian stocks weaken",1,positive
gold takes a breather after rallying to 3-week highs,1,positive
"dec gold closes at $449.30/oz, up $1.40 for the day",1,positive
"Gold settles lower, ending 6-session streak of gains",0,negative
Gold dips as Fed minutes signal no consensus on rate hikes,0,negative
Gold moves lower as market digests Fed statement,0,negative
gold prices to move higher towards 31870 levels: choice equity,1,positive
"gold steady amid subdued dollar, poised for weekly gain",,neutral
Expect Gold to trade sideways: Sushil Finance,,neutral
"gold futures climb, score monthly gain of over 2%",1,positive
gold futures fall on profit-selling,0,negative
"Gold prices tick higher after durable-goods, jobless-claims report",1,positive
"gold turns lower, trades at $1,383.10 an ounce",0,negative
"gold, silver bounce back on support from traders",1,positive
spot gold quoted at $667.50 in asia trade,1,positive
"gold marks slight gain, holds below $1,280/oz",1,positive
"gold hits one-week high; dollar, oil eyed",1,positive
newmont mining bucks sell off as gold prices gain,1,positive
"Dec. gold down 20 cents at $1,343.20/oz",0,negative
buy gold on dips; silver to rally: motilal oswal commodity,0,negative
Gold edges down as dollar holds firm near 13-month high,0,negative
april gold moves lower after earlier rise to $424.10,0,negative
"gold settles lower as as dow, s&p 500 try for fifth straight gain",0,negative
gold steady as dollar licks wounds after biggest drop since june,,neutral
Gold futures slide 0.15% on global cues,0,negative
"gold above $830 on weaker dollar, bhutto's death",1,positive
"gold set to log loss on month, gain for week",0,negative
gold climbs over $1 to close near the $660 mark,1,positive
Gold prices mark largest one-day loss in nearly 6 weeks,0,negative
Gold futures mark largest monthly gain since June,1,positive
Gold turns slightly positive after consumer-price data,1,positive
"gold consolidating, but will gain from central banks' steps to revive growth",1,positive
"August gold climbs $8.40, or 0.7%, to settle at $1,268.40.oz",1,positive
april gold last up $4.40 at $662.30/oz after $667 high,1,positive
gold futures mark lowest settlement since feb. 26,0,negative
"gold rallies as debt woes batter euro, china fund",1,positive
Gold futures take a sharp turn lower on Comex,0,negative
"June gold gains $10.80, or 0.9%, to $1,267.20/oz",1,positive
"spot gold bid at $401.80 an ounce, off 70c",0,negative
Gold hovers near 6-month low as dollar remains steady,0,negative
"Dec. gold at $1,279.40/oz in electronic trade, up from $1,277.30 settlement",1,positive
"Gold futures up at Rs 29,066 per 10 gm",1,positive
